BUY: $100.00 of BTC at $90000.00 on 01-01-2025|08:00. Quantity: 0.001111 BTC
BUY: $0.00 of BTC at $42956.00 on 27-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44244.00 on 27-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45571.00 on 27-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44203.00 on 27-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45529.00 on 28-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44163.00 on 28-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $42838.00 on 28-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44123.00 on 28-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45446.00 on 28-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46809.00 on 28-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48213.00 on 29-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46766.00 on 29-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48168.00 on 29-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49613.00 on 29-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51101.00 on 29-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49567.00 on 29-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51054.00 on 30-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49522.00 on 30-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51007.00 on 30-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49476.00 on 30-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50960.00 on 30-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49431.00 on 30-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50913.00 on 01-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52440.00 on 01-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50866.00 on 01-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52391.00 on 01-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50819.00 on 01-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52343.00 on 01-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50772.00 on 02-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49248.00 on 02-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50725.00 on 02-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52246.00 on 02-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50678.00 on 02-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49157.00 on 02-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50631.00 on 03-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49112.00 on 03-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47638.00 on 03-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49067.00 on 03-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50539.00 on 03-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49022.00 on 03-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47551.00 on 04-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48977.00 on 04-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47507.00 on 04-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48932.00 on 04-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50399.00 on 04-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51910.00 on 04-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53467.00 on 05-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55071.00 on 05-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56723.00 on 05-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $58424.00 on 05-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56671.00 on 05-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54970.00 on 05-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53320.00 on 06-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51720.00 on 06-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53271.00 on 06-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54869.00 on 06-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56515.00 on 06-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54819.00 on 06-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53174.00 on 07-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54769.00 on 07-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56412.00 on 07-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $58104.00 on 07-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56360.00 on 07-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54669.00 on 07-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56309.00 on 08-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57998.00 on 08-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59737.00 on 08-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57944.00 on 08-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56205.00 on 08-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57891.00 on 08-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59627.00 on 09-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57838.00 on 09-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59573.00 on 09-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57785.00 on 09-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59518.00 on 09-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $61303.00 on 09-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59463.00 on 10-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57679.00 on 10-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59409.00 on 10-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57626.00 on 10-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55897.00 on 10-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54220.00 on 10-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55846.00 on 11-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57521.00 on 11-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59246.00 on 11-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $61023.00 on 11-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $62853.00 on 11-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $64738.00 on 11-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $62795.00 on 12-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $60911.00 on 12-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $62738.00 on 12-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $60855.00 on 12-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $62680.00 on 12-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $64560.00 on 12-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $62623.00 on 13-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $60744.00 on 13-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $58921.00 on 13-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $60688.00 on 13-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $62508.00 on 13-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $64383.00 on 13-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $66314.00 on 14-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $68303.00 on 14-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $66253.00 on 14-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $68240.00 on 14-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $70287.00 on 14-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $68178.00 on 14-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $70223.00 on 15-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $72329.00 on 15-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $70159.00 on 15-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $68054.00 on 15-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $70095.00 on 15-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $67992.00 on 15-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $70031.00 on 16-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $72131.00 on 16-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $74294.00 on 16-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $76522.00 on 16-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $78817.00 on 16-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $76452.00 on 16-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $74158.00 on 17-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $71933.00 on 17-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $74090.00 on 17-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $71867.00 on 17-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $74023.00 on 17-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $71802.00 on 17-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $73956.00 on 18-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $76174.00 on 18-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $78459.00 on 18-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $76105.00 on 18-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $73821.00 on 18-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $71606.00 on 18-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $69457.00 on 19-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $67373.00 on 19-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $65351.00 on 19-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $67311.00 on 19-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $65291.00 on 19-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $63332.00 on 19-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $65231.00 on 20-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $63274.00 on 20-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $65172.00 on 20-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $67127.00 on 20-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $69140.00 on 20-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $67065.00 on 20-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $69076.00 on 21-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $67003.00 on 21-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $64992.00 on 21-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $66941.00 on 21-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $68949.00 on 21-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $66880.00 on 21-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $68886.00 on 22-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $70952.00 on 22-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $68823.00 on 22-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $66758.00 on 22-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $64755.00 on 22-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $62812.00 on 22-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $60927.00 on 23-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $62754.00 on 23-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $64636.00 on 23-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $62696.00 on 23-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $60815.00 on 23-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $58990.00 on 23-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $60759.00 on 24-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $62581.00 on 24-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $60703.00 on 24-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $58881.00 on 24-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57114.00 on 24-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55400.00 on 24-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53738.00 on 25-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55350.00 on 25-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57010.00 on 25-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55299.00 on 25-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53640.00 on 25-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55249.00 on 25-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56906.00 on 26-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $58613.00 on 26-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56854.00 on 26-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55148.00 on 26-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56802.00 on 26-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55097.00 on 26-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56749.00 on 27-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $58451.00 on 27-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56697.00 on 27-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $58397.00 on 27-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $60148.00 on 27-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $58343.00 on 27-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56592.00 on 28-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $58289.00 on 28-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $60037.00 on 28-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $58235.00 on 28-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59982.00 on 28-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $58182.00 on 28-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56436.00 on 29-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $58129.00 on 29-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56385.00 on 29-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54693.00 on 29-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56333.00 on 29-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $58022.00 on 29-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59762.00 on 30-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $61554.00 on 30-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $63400.00 on 30-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $61498.00 on 30-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59653.00 on 30-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $61442.00 on 30-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $63285.00 on 31-05-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $61386.00 on 31-05-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $63227.00 on 31-05-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $61330.00 on 31-05-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59490.00 on 31-05-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $61274.00 on 31-05-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59435.00 on 01-06-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $61218.00 on 01-06-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59381.00 on 01-06-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $61162.00 on 01-06-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59327.00 on 01-06-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $61106.00 on 01-06-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59272.00 on 02-06-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57493.00 on 02-06-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55768.00 on 02-06-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54094.00 on 02-06-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55716.00 on 02-06-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54044.00 on 02-06-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55665.00 on 03-06-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53995.00 on 03-06-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55614.00 on 03-06-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53945.00 on 03-06-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52326.00 on 03-06-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50756.00 on 03-06-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49233.00 on 04-06-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50709.00 on 04-06-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49187.00 on 04-06-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50662.00 on 04-06-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52181.00 on 04-06-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53746.00 on 04-06-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55358.00 on 05-06-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53697.00 on 05-06-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52086.00 on 05-06-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50523.00 on 05-06-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49007.00 on 05-06-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50477.00 on 05-06-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51991.00 on 06-06-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53550.00 on 06-06-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55156.00 on 06-06-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53501.00 on 06-06-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55106.00 on 06-06-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53452.00 on 06-06-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51848.00 on 07-06-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53403.00 on 07-06-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51800.00 on 07-06-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50246.00 on 07-06-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48738.00 on 07-06-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47275.00 on 07-06-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48693.00 on 08-06-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47232.00 on 08-06-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48648.00 on 08-06-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50107.00 on 08-06-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51610.00 on 08-06-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53158.00 on 08-06-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54752.00 on 09-06-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53109.00 on 09-06-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51515.00 on 09-06-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49969.00 on 09-06-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48469.00 on 09-06-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49923.00 on 09-06-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51420.00 on 10-06-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52962.00 on 10-06-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51373.00 on 10-06-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52914.00 on 10-06-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54501.00 on 10-06-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56136.00 on 10-06-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54451.00 on 11-06-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56084.00 on 11-06-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57766.00 on 11-06-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56033.00 on 11-06-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54352.00 on 11-06-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55982.00 on 11-06-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57661.00 on 12-06-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55931.00 on 12-06-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57608.00 on 12-06-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55879.00 on 12-06-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54202.00 on 12-06-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52575.00 on 12-06-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54152.00 on 13-06-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52527.00 on 13-06-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54102.00 on 13-06-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52478.00 on 13-06-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54052.00 on 13-06-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52430.00 on 13-06-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54002.00 on 14-06-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52381.00 on 14-06-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53952.00 on 14-06-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55570.00 on 14-06-2025|12:00. Quantity: 0.000000 BTC
